PING 202.112.35.231 (202.112.35.231) 56(84) bytes of data.
64 bytes from 202.112.35.231: icmp_seq=129 ttl=61 time=9.94 ms
64 bytes from 202.112.35.231: icmp_seq=130 ttl=61 time=22.7 ms
64 bytes from 202.112.35.231: icmp_seq=131 ttl=61 time=30.1 ms
64 bytes from 202.112.35.231: icmp_seq=132 ttl=61 time=15.1 ms
64 bytes from 202.112.35.231: icmp_seq=133 ttl=61 time=10.6 ms
64 bytes from 202.112.35.231: icmp_seq=134 ttl=61 time=64.0 ms
64 bytes from 202.112.35.231: icmp_seq=135 ttl=61 time=16.1 ms
64 bytes from 202.112.35.231: icmp_seq=136 ttl=61 time=44.9 ms
64 bytes from 202.112.35.231: icmp_seq=137 ttl=61 time=26.4 ms
64 bytes from 202.112.35.231: icmp_seq=138 ttl=61 time=9.53 ms
64 bytes from 202.112.35.231: icmp_seq=139 ttl=61 time=28.1 ms
64 bytes from 202.112.35.231: icmp_seq=140 ttl=61 time=144 ms
64 bytes from 202.112.35.231: icmp_seq=141 ttl=61 time=53.6 ms
64 bytes from 202.112.35.231: icmp_seq=142 ttl=61 time=75.1 ms
64 bytes from 202.112.35.231: icmp_seq=143 ttl=61 time=113 ms
64 bytes from 202.112.35.231: icmp_seq=144 ttl=61 time=205 ms
64 bytes from 202.112.35.231: icmp_seq=145 ttl=61 time=63.2 ms
64 bytes from 202.112.35.231: icmp_seq=146 ttl=61 time=19.6 ms
64 bytes from 202.112.35.231: icmp_seq=147 ttl=61 time=4.85 ms
64 bytes from 202.112.35.231: icmp_seq=148 ttl=61 time=48.5 ms
64 bytes from 202.112.35.231: icmp_seq=149 ttl=61 time=440 ms
64 bytes from 202.112.35.231: icmp_seq=150 ttl=61 time=39.3 ms
64 bytes from 202.112.35.231: icmp_seq=151 ttl=61 time=13.6 ms
64 bytes from 202.112.35.231: icmp_seq=152 ttl=61 time=7.76 ms
64 bytes from 202.112.35.231: icmp_seq=153 ttl=61 time=33.3 ms
64 bytes from 202.112.35.231: icmp_seq=154 ttl=61 time=28.8 ms
64 bytes from 202.112.35.231: icmp_seq=155 ttl=61 time=85.0 ms
64 bytes from 202.112.35.231: icmp_seq=156 ttl=61 time=13.5 ms
64 bytes from 202.112.35.231: icmp_seq=157 ttl=61 time=129 ms
64 bytes from 202.112.35.231: icmp_seq=158 ttl=61 time=25.3 ms
64 bytes from 202.112.35.231: icmp_seq=159 ttl=61 time=227 ms
64 bytes from 202.112.35.231: icmp_seq=160 ttl=61 time=94.3 ms
64 bytes from 202.112.35.231: icmp_seq=161 ttl=61 time=19.0 ms
64 bytes from 202.112.35.231: icmp_seq=162 ttl=61 time=24.9 ms
64 bytes from 202.112.35.231: icmp_seq=163 ttl=61 time=23.4 ms
64 bytes from 202.112.35.231: icmp_seq=164 ttl=61 time=18.7 ms
64 bytes from 202.112.35.231: icmp_seq=165 ttl=61 time=61.5 ms
64 bytes from 202.112.35.231: icmp_seq=166 ttl=61 time=60.2 ms
64 bytes from 202.112.35.231: icmp_seq=167 ttl=61 time=7.85 ms
64 bytes from 202.112.35.231: icmp_seq=168 ttl=61 time=7.33 ms
64 bytes from 202.112.35.231: icmp_seq=169 ttl=61 time=25.4 ms
64 bytes from 202.112.35.231: icmp_seq=170 ttl=61 time=1032 ms
64 bytes from 202.112.35.231: icmp_seq=171 ttl=61 time=31.4 ms
64 bytes from 202.112.35.231: icmp_seq=172 ttl=61 time=113 ms
64 bytes from 202.112.35.231: icmp_seq=173 ttl=61 time=21.2 ms
64 bytes from 202.112.35.231: icmp_seq=174 ttl=61 time=5.39 ms
64 bytes from 202.112.35.231: icmp_seq=175 ttl=61 time=21.7 ms
64 bytes from 202.112.35.231: icmp_seq=176 ttl=61 time=54.7 ms
64 bytes from 202.112.35.231: icmp_seq=177 ttl=61 time=27.9 ms
64 bytes from 202.112.35.231: icmp_seq=178 ttl=61 time=31.1 ms
64 bytes from 202.112.35.231: icmp_seq=179 ttl=61 time=9.63 ms
64 bytes from 202.112.35.231: icmp_seq=180 ttl=61 time=14.4 ms
64 bytes from 202.112.35.231: icmp_seq=181 ttl=61 time=10.9 ms
64 bytes from 202.112.35.231: icmp_seq=182 ttl=61 time=17.0 ms
64 bytes from 202.112.35.231: icmp_seq=183 ttl=61 time=94.5 ms
64 bytes from 202.112.35.231: icmp_seq=184 ttl=61 time=20.8 ms
64 bytes from 202.112.35.231: icmp_seq=185 ttl=61 time=19.5 ms
64 bytes from 202.112.35.231: icmp_seq=186 ttl=61 time=109 ms
64 bytes from 202.112.35.231: icmp_seq=187 ttl=61 time=20.7 ms
64 bytes from 202.112.35.231: icmp_seq=188 ttl=61 time=23.1 ms
64 bytes from 202.112.35.231: icmp_seq=189 ttl=61 time=9.13 ms
64 bytes from 202.112.35.231: icmp_seq=190 ttl=61 time=12.3 ms
64 bytes from 202.112.35.231: icmp_seq=191 ttl=61 time=33.5 ms
64 bytes from 202.112.35.231: icmp_seq=192 ttl=61 time=6.77 ms
64 bytes from 202.112.35.231: icmp_seq=193 ttl=61 time=293 ms
64 bytes from 202.112.35.231: icmp_seq=194 ttl=61 time=87.1 ms
64 bytes from 202.112.35.231: icmp_seq=195 ttl=61 time=74.3 ms
64 bytes from 202.112.35.231: icmp_seq=196 ttl=61 time=23.7 ms
64 bytes from 202.112.35.231: icmp_seq=197 ttl=61 time=11.5 ms
64 bytes from 202.112.35.231: icmp_seq=198 ttl=61 time=94.9 ms
64 bytes from 202.112.35.231: icmp_seq=199 ttl=61 time=11.1 ms
64 bytes from 202.112.35.231: icmp_seq=200 ttl=61 time=12.6 ms
64 bytes from 202.112.35.231: icmp_seq=201 ttl=61 time=10.8 ms
64 bytes from 202.112.35.231: icmp_seq=202 ttl=61 time=77.1 ms
64 bytes from 202.112.35.231: icmp_seq=203 ttl=61 time=33.4 ms
64 bytes from 202.112.35.231: icmp_seq=204 ttl=61 time=164 ms
64 bytes from 202.112.35.231: icmp_seq=205 ttl=61 time=27.7 ms
64 bytes from 202.112.35.231: icmp_seq=206 ttl=61 time=5.48 ms
64 bytes from 202.112.35.231: icmp_seq=207 ttl=61 time=7.68 ms
64 bytes from 202.112.35.231: icmp_seq=208 ttl=61 time=18.2 ms
64 bytes from 202.112.35.231: icmp_seq=209 ttl=61 time=9.81 ms
64 bytes from 202.112.35.231: icmp_seq=210 ttl=61 time=59.3 ms
64 bytes from 202.112.35.231: icmp_seq=211 ttl=61 time=114 ms
64 bytes from 202.112.35.231: icmp_seq=212 ttl=61 time=23.8 ms
64 bytes from 202.112.35.231: icmp_seq=213 ttl=61 time=12.3 ms
64 bytes from 202.112.35.231: icmp_seq=214 ttl=61 time=23.4 ms
64 bytes from 202.112.35.231: icmp_seq=215 ttl=61 time=38.2 ms
64 bytes from 202.112.35.231: icmp_seq=216 ttl=61 time=17.7 ms
64 bytes from 202.112.35.231: icmp_seq=217 ttl=61 time=18.3 ms
64 bytes from 202.112.35.231: icmp_seq=218 ttl=61 time=9.78 ms
64 bytes from 202.112.35.231: icmp_seq=219 ttl=61 time=5.68 ms
64 bytes from 202.112.35.231: icmp_seq=220 ttl=61 time=14.8 ms
64 bytes from 202.112.35.231: icmp_seq=221 ttl=61 time=21.4 ms
64 bytes from 202.112.35.231: icmp_seq=222 ttl=61 time=25.9 ms
64 bytes from 202.112.35.231: icmp_seq=223 ttl=61 time=46.6 ms
64 bytes from 202.112.35.231: icmp_seq=224 ttl=61 time=191 ms
64 bytes from 202.112.35.231: icmp_seq=225 ttl=61 time=39.6 ms
64 bytes from 202.112.35.231: icmp_seq=226 ttl=61 time=13.7 ms
64 bytes from 202.112.35.231: icmp_seq=227 ttl=61 time=14.0 ms
64 bytes from 202.112.35.231: icmp_seq=228 ttl=61 time=19.2 ms
64 bytes from 202.112.35.231: icmp_seq=229 ttl=61 time=5.48 ms
64 bytes from 202.112.35.231: icmp_seq=230 ttl=61 time=958 ms
64 bytes from 202.112.35.231: icmp_seq=231 ttl=61 time=19.7 ms
64 bytes from 202.112.35.231: icmp_seq=232 ttl=61 time=43.5 ms
64 bytes from 202.112.35.231: icmp_seq=233 ttl=61 time=95.5 ms
64 bytes from 202.112.35.231: icmp_seq=234 ttl=61 time=11.2 ms
64 bytes from 202.112.35.231: icmp_seq=235 ttl=61 time=119 ms
64 bytes from 202.112.35.231: icmp_seq=236 ttl=61 time=83.8 ms
64 bytes from 202.112.35.231: icmp_seq=237 ttl=61 time=127 ms
64 bytes from 202.112.35.231: icmp_seq=238 ttl=61 time=23.2 ms
64 bytes from 202.112.35.231: icmp_seq=239 ttl=61 time=38.6 ms
64 bytes from 202.112.35.231: icmp_seq=240 ttl=61 time=274 ms
64 bytes from 202.112.35.231: icmp_seq=241 ttl=61 time=18.4 ms
64 bytes from 202.112.35.231: icmp_seq=242 ttl=61 time=33.0 ms
64 bytes from 202.112.35.231: icmp_seq=243 ttl=61 time=8.17 ms
64 bytes from 202.112.35.231: icmp_seq=244 ttl=61 time=6.29 ms
64 bytes from 202.112.35.231: icmp_seq=245 ttl=61 time=8.74 ms
64 bytes from 202.112.35.231: icmp_seq=246 ttl=61 time=22.5 ms
64 bytes from 202.112.35.231: icmp_seq=247 ttl=61 time=5.81 ms
64 bytes from 202.112.35.231: icmp_seq=248 ttl=61 time=12.7 ms
64 bytes from 202.112.35.231: icmp_seq=249 ttl=61 time=33.4 ms
64 bytes from 202.112.35.231: icmp_seq=250 ttl=61 time=32.7 ms
64 bytes from 202.112.35.231: icmp_seq=251 ttl=61 time=7.95 ms
64 bytes from 202.112.35.231: icmp_seq=252 ttl=61 time=10.3 ms
64 bytes from 202.112.35.231: icmp_seq=253 ttl=61 time=29.5 ms
64 bytes from 202.112.35.231: icmp_seq=254 ttl=61 time=16.8 ms
64 bytes from 202.112.35.231: icmp_seq=255 ttl=61 time=12.4 ms
64 bytes from 202.112.35.231: icmp_seq=256 ttl=61 time=40.4 ms
64 bytes from 202.112.35.231: icmp_seq=257 ttl=61 time=20.2 ms
64 bytes from 202.112.35.231: icmp_seq=258 ttl=61 time=17.9 ms
64 bytes from 202.112.35.231: icmp_seq=259 ttl=61 time=67.1 ms
64 bytes from 202.112.35.231: icmp_seq=260 ttl=61 time=27.5 ms
64 bytes from 202.112.35.231: icmp_seq=261 ttl=61 time=7.74 ms
64 bytes from 202.112.35.231: icmp_seq=262 ttl=61 time=10.3 ms
64 bytes from 202.112.35.231: icmp_seq=263 ttl=61 time=17.4 ms
64 bytes from 202.112.35.231: icmp_seq=264 ttl=61 time=477 ms
64 bytes from 202.112.35.231: icmp_seq=265 ttl=61 time=92.9 ms
64 bytes from 202.112.35.231: icmp_seq=266 ttl=61 time=8.18 ms
64 bytes from 202.112.35.231: icmp_seq=277 ttl=61 time=21.9 ms
64 bytes from 202.112.35.231: icmp_seq=278 ttl=61 time=10.2 ms
64 bytes from 202.112.35.231: icmp_seq=279 ttl=61 time=115 ms
64 bytes from 202.112.35.231: icmp_seq=280 ttl=61 time=41.4 ms
64 bytes from 202.112.35.231: icmp_seq=281 ttl=61 time=17.7 ms
64 bytes from 202.112.35.231: icmp_seq=282 ttl=61 time=35.0 ms
64 bytes from 202.112.35.231: icmp_seq=283 ttl=61 time=12.0 ms
64 bytes from 202.112.35.231: icmp_seq=284 ttl=61 time=25.3 ms
64 bytes from 202.112.35.231: icmp_seq=285 ttl=61 time=21.3 ms
64 bytes from 202.112.35.231: icmp_seq=286 ttl=61 time=53.4 ms
64 bytes from 202.112.35.231: icmp_seq=287 ttl=61 time=27.0 ms
64 bytes from 202.112.35.231: icmp_seq=288 ttl=61 time=56.8 ms
64 bytes from 202.112.35.231: icmp_seq=289 ttl=61 time=35.5 ms
64 bytes from 202.112.35.231: icmp_seq=290 ttl=61 time=887 ms
64 bytes from 202.112.35.231: icmp_seq=291 ttl=61 time=174 ms
64 bytes from 202.112.35.231: icmp_seq=292 ttl=61 time=8.95 ms
64 bytes from 202.112.35.231: icmp_seq=293 ttl=61 time=41.6 ms
64 bytes from 202.112.35.231: icmp_seq=294 ttl=61 time=46.9 ms
64 bytes from 202.112.35.231: icmp_seq=295 ttl=61 time=11.3 ms
64 bytes from 202.112.35.231: icmp_seq=296 ttl=61 time=7.87 ms
64 bytes from 202.112.35.231: icmp_seq=297 ttl=61 time=8.46 ms
64 bytes from 202.112.35.231: icmp_seq=298 ttl=61 time=9.46 ms
64 bytes from 202.112.35.231: icmp_seq=299 ttl=61 time=14.2 ms
64 bytes from 202.112.35.231: icmp_seq=300 ttl=61 time=26.2 ms
64 bytes from 202.112.35.231: icmp_seq=301 ttl=61 time=8.11 ms
64 bytes from 202.112.35.231: icmp_seq=302 ttl=61 time=144 ms
64 bytes from 202.112.35.231: icmp_seq=303 ttl=61 time=37.0 ms
64 bytes from 202.112.35.231: icmp_seq=304 ttl=61 time=45.7 ms
64 bytes from 202.112.35.231: icmp_seq=305 ttl=61 time=56.0 ms
64 bytes from 202.112.35.231: icmp_seq=306 ttl=61 time=134 ms
64 bytes from 202.112.35.231: icmp_seq=307 ttl=61 time=34.3 ms
64 bytes from 202.112.35.231: icmp_seq=308 ttl=61 time=56.8 ms
64 bytes from 202.112.35.231: icmp_seq=309 ttl=61 time=42.0 ms
64 bytes from 202.112.35.231: icmp_seq=310 ttl=61 time=9.96 ms
64 bytes from 202.112.35.231: icmp_seq=311 ttl=61 time=17.4 ms
